item	subtype	subsubtype	optionality	response
Nuclear weapon	Implosion-type fission weapon	-	"shell: F
core: F
explosive lens: F
detonator: F
internal mechanism: F"	"1. shell: metal and/or plastic
2. core: uranium or plutonium
3. explosive lens: high explosives
4. detonator: electronics and/or metal
5. internal mechanism: electronics, metal, and plastics"
Nuclear weapon	Boosted fission weapon	-	"shell: F
core: F
fusion fuel: F
explosive lens: F
detonator: F
internal mechanism: F"	"1. shell: metal
2. core: uranium or plutonium
3. fusion fuel: lithium deuteride
4. explosive lens: high explosives
5. detonator: electronics and metal
6. internal mechanism: metal and electronics"
Nuclear weapon	Thermonuclear weapon	-	"shell: F
radiation case: F
core: F
sparkplug: F
secondary stage: F
fusion fuel: F
detonator: F
internal mechanism: F"	"1. shell: steel or aluminum
2. radiation case: uranium or lead
3. core: plutonium or uranium
4. sparkplug: plutonium
5. secondary stage: lithium deuteride
6. fusion fuel: lithium deuteride and/or tritium
7. detonator: electronics and conventional explosives
8. internal mechanism: electronics, metals, and plastics"
Numeric keypad	-	-	"keys: F
frame: F
electronic circuitry: F"	"1. keys: plastic
2. frame: plastic
3. electronic circuitry: electronics"
Nursery (room)	-	-	"walls: F
floor: F
ceiling: F
door: F
window: T"	"1. walls: drywall, plaster, wood, and/or brick
2. floor: hardwood, laminate, carpet, and/or tile
3. ceiling: drywall, plaster, wood, and/or acoustic tiles
4. door: wood or metal
5. window: glass and metal or wood"
Nut (hardware)	Hex nut	-	"body: F
internal thread: F"	"1. body: metal
2. internal thread: metal"
Nut (hardware)	Lock nut	-	"body: F
internal thread: F
locking feature: F"	"1. body: metal
2. internal thread: metal
3. locking feature: nylon or metal"
Nut (hardware)	Wing nut	-	"body: F
internal thread: F
'wings' for manual turning: F"	"1. body: metal or plastic
2. internal thread: metal or plastic
3. 'wings' for manual turning: metal or plastic"
Nut (hardware)	Cap nut	-	"body: F
internal thread: F
domed end: F"	"1. body: metal
2. internal thread: metal
3. domed end: metal"
Nut (hardware)	Flange nut	-	"body: F
internal thread: F
integrated flange: F"	"1. body: metal
2. internal thread: metal
3. integrated flange: metal"
Nut (hardware)	Square nut	-	"body: F
internal thread: F
square shape: F"	"1. body: metal
2. internal thread: metal
3. square shape: metal"
Nutcracker	Lever nutcracker	-	"handles: F
fulcrum: F
jaws: F"	"1. handles: metal or wood
2. fulcrum: metal
3. jaws: metal"
Nutcracker	Screw-type nutcracker	-	"threaded screw: F
handles: F
nut holder: F"	"1. threaded screw: metal
2. handles: metal and/or wood
3. nut holder: metal"
Nutcracker	Plier-style nutcracker	-	"handles: F
pivot: F
jaws: F"	"1. handles: metal or plastic
2. pivot: metal
3. jaws: metal"
Nutcracker	Ratchet nutcracker	-	"handles: F
ratchet arm: F
jaws: F"	"1. handles: metal or wood
2. ratchet arm: metal
3. jaws: metal"
Nutcracker	Decorative nutcracker	-	"base: F
decorative levers: F
decorative figure: F"	"1. base: wood or metal
2. decorative levers: wood or metal
3. decorative figure: wood, metal, and/or plastic"
Nutcracker doll	-	-	"head: F
body: F
arms: T
legs: T
lever: F
base: F"	"1. head: wood
2. body: wood
3. arms: wood
4. legs: wood
5. lever: wood and/or metal
6. base: wood"
Oar	Sculling oar	-	"handle: F
shaft: F
sleeve: F
collar: F
blade: F"	"1. handle: rubber or synthetic material
2. shaft: carbon fiber or fiberglass
3. sleeve: plastic
4. collar: plastic or rubber
5. blade: carbon fiber or fiberglass"
Oar	Sweep oar	-	"handle: F
shaft: F
sleeve: F
collar: F
blade: F
button: F"	"1. handle: rubber or synthetic
2. shaft: carbon fiber or fiberglass
3. sleeve: plastic
4. collar: plastic
5. blade: carbon fiber or fiberglass
6. button: plastic"
Oar (sport rowing)	-	-	"handle: F
shaft: F
blade: F
collar: F
sleeve: F"	"1. handle: wood or synthetic material
2. shaft: wood, carbon fiber, or fiberglass
3. blade: wood, carbon fiber, or fiberglass
4. collar: plastic or rubber
5. sleeve: plastic or rubber"
Oboe	Conservatoire (French) oboe	-	"body: F
keys: F
reed: F
bell: F"	"1. body: wood or plastic
2. keys: metal
3. reed: cane
4. bell: wood or plastic"
Oboe	Viennese (Vienna) oboe	-	"body: F
keys: F
reed: F
bell: F
rotating bulb: F"	"1. body: wood
2. keys: metal
3. reed: bamboo or cane
4. bell: wood
5. rotating bulb: wood"
Oboe	English horn	-	"body: F
keys: F
reed: F
bell: F
bulge: F
bocal: F"	"1. body: wood or plastic
2. keys: metal
3. reed: cane
4. bell: wood or plastic
5. bulge: wood or plastic
6. bocal: metal"
Oboe	Baroque oboe	-	"body: F
keys: F
reed: F"	"1. body: wood
2. keys: metal or wood
3. reed: cane"
Oboe	Oboe d'amore	-	"body: F
keys: F
reed: F
bell: F
pear-shaped bell: F"	"1. body: wood or plastic
2. keys: metal
3. reed: bamboo or synthetic
4. bell: wood or plastic
5. pear-shaped bell: wood or plastic"
Oboe	Bass oboe	-	"body: F
keys: F
reed: F
bell: F
bocal: F"	"1. body: wood or plastic
2. keys: metal
3. reed: cane
4. bell: wood or plastic
5. bocal: metal"
Observation tower	-	-	"base: F
walls: F
floors: F
roof: F
internal mechanism: F"	"1. base: concrete or metal
2. walls: metal or glass
3. floors: concrete or metal
4. roof: metal or glass
5. internal mechanism: electronics and metal"
Ocean liner	Classic ocean liner	-	"hull: F
engines: F
rudder: F
propeller: F
bridge: F
cabins: F
dining rooms: F
lifeboats: F"	"1. hull: steel
2. engines: steel and various metals
3. rudder: steel or bronze
4. propeller: bronze or stainless steel
5. bridge: steel and electronics
6. cabins: wood, metal, and textiles
7. dining rooms: wood, metal, glass, and textiles
8. lifeboats: fiberglass or steel"
Ocean liner	Contemporary Cruise Liner	-	"hull: F
engines: F
rudder: F
propeller: F
bridge: F
cabins: F
dining rooms: F
lifeboats: F
balconies: T
swimming pools: F
entertainment venues: F"	"1. hull: steel or aluminum
2. engines: steel, aluminum, and various metals
3. rudder: steel or composite material
4. propeller: bronze or stainless steel
5. bridge: steel, aluminum, glass, and electronics
6. cabins: steel, aluminum, wood, plastic and fabrics
7. dining rooms: steel, aluminum, wood, plastic, glass, and fabrics
8. lifeboats: fiberglass or aluminum
9. balconies: steel or aluminum and glass
10. swimming pools: steel, concrete, tile, and plastics
11. entertainment venues: steel, aluminum, wood, plastic, glass, and electronics"
Odometer	Mechanical odometer	-	"drive cable: F
numeral wheels: F
frame: F"	"1. drive cable: metal
2. numeral wheels: plastic
3. frame: metal or plastic"
Odometer	Electronic odometer	-	"digital display: F
circuit board: F
power source: F"	"1. digital display: glass and electronics
2. circuit board: electronics
3. power source: metal and chemicals"
Oil burner	Vaporizing burner	-	"burner pot: F
oil regulator: F
vaporizing cup: F
blast tube: F
blower: T"	"1. burner pot: metal
2. oil regulator: metal and/or plastic
3. vaporizing cup: metal
4. blast tube: metal
5. blower: metal and/or plastic"
Oil burner	Pressure jet burner	-	"nozzle: F
oil pump: F
blower: F
transformer: F
control box: F
blast tube: F"	"1. nozzle: metal
2. oil pump: metal and/or plastics
3. blower: metal and/or plastics
4. transformer: metal and electronics
5. control box: metal and electronics
6. blast tube: metal"
Oil burner	Rotary cup oil burner	-	"nozzle: F
oil pump: F
blower: F
transformer: F
control box: F
air disk: F
rotor: F"	"1. nozzle: metal
2. oil pump: metal
3. blower: metal and plastic
4. transformer: metal, insulating materials
5. control box: metal and plastic
6. air disk: metal and/or ceramics
7. rotor: metal"
Oil burner	Pot-type burner	-	"oil container: F
wick: F
control knob: F
burner chimney: F"	"1. oil container: metal
2. wick: cotton or fiberglass
3. control knob: metal or plastic
4. burner chimney: metal"
Oil can	-	-	"spout: F
body: F
handle: F
cap: T"	"1. spout: metal or plastic
2. body: metal or plastic
3. handle: metal or plastic
4. cap: metal or plastic"
Oil filter	Mechanical oil filter	-	"case: F
filter media: F
gasket: F
anti-drain back valve: T
relief valve: F"	"1. case: metal or plastic
2. filter media: paper or synthetic materials
3. gasket: rubber
4. anti-drain back valve: rubber or silicone
5. relief valve: metal"
Oil filter	Cartridge and spin-on oil filter	-	"housing: F
filter element: F
O-ring seals: F
anti-drain back valve: T
relief valve: F"	"1. housing: metal or plastic
2. filter element: paper or synthetic fibers
3. O-ring seals: rubber
4. anti-drain back valve: rubber or silicone
5. relief valve: metal"
Oil filter	Magnetic oil filter	-	"case: F
magnet: F
flow tube: F
gasket: F
relief valve: T"	"1. case: metal
2. magnet: ferromagnetic material
3. flow tube: metal
4. gasket: rubber
5. relief valve: metal"
Oil filter	Sedimentation oil filter	-	"housing: F
sediment bowl: F
relief valve: T"	"1. housing: metal or plastic
2. sediment bowl: glass or plastic
3. relief valve: metal"
Oil filter	Centrifugal oil filter	-	"housing: F
rotor: F
spindle: F
gasket: F
relief valve: T"	"1. housing: metal or plastic
2. rotor: metal
3. spindle: metal
4. gasket: rubber or silicone
5. relief valve: metal"
Oil filter	High-efficiency (HE) oil filter	-	"housing: F
synthetic filter media: F
gasket: F
anti-drain back valve: T
relief valve: F"	"1. housing: metal or plastic
2. synthetic filter media: synthetic fibers
3. gasket: rubber
4. anti-drain back valve: rubber or silicone
5. relief valve: metal"
Oil lamp	Flat-wick lamp	-	"reservoir: F
wick: F
burner: F
chimney: F
base: F"	"1. reservoir: metal or glass
2. wick: cotton
3. burner: metal
4. chimney: glass
5. base: metal or ceramic"
Oil lamp	Central-draft lamp	-	"reservoir: F
wick: F
burner with central draft tube: F
chimney: F
base: F"	"1. reservoir: glass or metal
2. wick: cotton or fiberglass
3. burner with central draft tube: metal
4. chimney: glass
5. base: metal or ceramic"
Oil lamp	Mantle oil lamp	-	"reservoir: F
burner with mantle: F
chimney: F
base: F"	"1. reservoir: metal or glass
2. burner with mantle: metal, fabric
3. chimney: glass
4. base: metal"
Oil lamp	Enclosed oil lamp	-	"reservoir: F
wick: F
burner: F
globe: F
base: F"	"1. reservoir: metal or glass
2. wick: cotton
3. burner: metal
4. globe: glass
5. base: metal or plastic"
Oil platform	Fixed platform	-	"legs: F
deck: F
jacket: F"	"1. legs: steel or concrete
2. deck: steel or timber
3. jacket: steel"
Oil platform	Compliant tower	-	"tower: F
piled foundation: F
deck: F"	"1. tower: steel
2. piled foundation: steel and/or concrete
3. deck: steel"
Oil platform	Sea Star	-	"subsea wells: F
flexible risers: F
deck: F"	"1. subsea wells: steel, various alloys, and rubber
2. flexible risers: synthetic rubber, high-strength steel, and thermoplastic
3. deck: steel"
Oil platform	Spar platform	-	"hard tank: F
soft tank: F
deck: F"	"1. hard tank: steel
2. soft tank: steel
3. deck: steel"
Oil platform	Tension leg platform	-	"tendons: F
hull: F
deck: F"	"1. tendons: steel
2. hull: steel
3. deck: steel"
Oil platform	Semi-submersible platform	-	"pontoons: F
columns: F
deck: F"	"1. pontoons: steel or concrete
2. columns: steel or concrete
3. deck: steel"
Oil rig	Land-based Oil Rig	-	"derrick: F
substructure: F
drawworks: F
drilling floor: F
rotary table: F
power source: F
living quarters: T"	"1. derrick: steel
2. substructure: steel
3. drawworks: metal and electronics
4. drilling floor: steel and concrete
5. rotary table: steel
6. power source: steel, electronics, and various machinery materials
7. living quarters: steel, insulation materials, and various construction materials"
Oil rig	Offshore Oil Rig	Jack-up Rig	"hull: F
legs: F
drilling floor: F
derrick: F
drawworks: F
power source: F
living quarters: F"	"1. hull: steel
2. legs: steel
3. drilling floor: steel
4. derrick: steel
5. drawworks: steel and electronics
6. power source: diesel engines or electric motors
7. living quarters: steel, plastic, and textiles"
Oil rig	Offshore Oil Rig	Semi-submersible Rig	"pontoons: F
columns: F
drilling floor: F
derrick: F
drawworks: F
power source: F
living quarters: F"	"1. pontoons: steel
2. columns: steel
3. drilling floor: steel
4. derrick: steel
5. drawworks: steel, iron, and/or alloys
6. power source: steel, iron, copper, and/or aluminum
7. living quarters: steel, aluminum, and plastics"
Oil rig	Offshore Oil Rig	Drillship	"hull: F
drilling floor: F
derrick: F
drawworks: F
power source: F
navigation bridge: F
living quarters: F"	"1. hull: steel
2. drilling floor: steel and concrete
3. derrick: steel
4. drawworks: steel and other metals
5. power source: electronics and steel
6. navigation bridge: steel and electronics
7. living quarters: steel, plastics, and textiles"
Oil rig	Offshore Oil Rig	Fixed Platform Rig	"jacket: F
deck: F
drilling floor: F
derrick: F
drawworks: F
power source: F
living quarters: F"	"1. jacket: steel
2. deck: steel
3. drilling floor: steel
4. derrick: steel
5. drawworks: steel, iron, and alloys
6. power source: steel, iron, and electronics
7. living quarters: steel, metal, and insulation materials"
Oil tanker	-	-	"hull: F
cargo tanks: F
pump room: F
engine room: F
ballast tanks: F"	"1. hull: steel
2. cargo tanks: steel or aluminum
3. pump room: steel and electronics
4. engine room: steel, electronics, and various metals
5. ballast tanks: steel"
Oil well	Onshore well	-	"wellhead: F
casing: F
drilling rig: T
derrick: T
pumpjack: T
Christmas tree: F"	"1. wellhead: metal
2. casing: steel or plastic
3. drilling rig: metal
4. derrick: metal
5. pumpjack: metal
6. Christmas tree: metal"
Oil well	Offshore well	-	"wellhead: F
casing: F
drilling rig: T
platform: F
subsea template: F
blowout preventer: F
Christmas tree: F"	"1. wellhead: metal
2. casing: metal
3. drilling rig: metal and plastics
4. platform: metal
5. subsea template: metal
6. blowout preventer: metal and rubber
7. Christmas tree: metal"
Onion dome	-	-	"frame: F
sheathing: F
outer covering: F"	"1. frame: metal or wood
2. sheathing: metal, wood, or composite materials
3. outer covering: copper, stainless steel, gold leaf, aluminum, or architectural fabrics"
Operating table	General surgery table	-	"tabletop: F
base: F
supports: F
adjustment mechanisms: F"	"1. tabletop: stainless steel and/or composite materials
2. base: metal or composite materials
3. supports: metal
4. adjustment mechanisms: metal and plastic"
Operating table	Specialty surgery table	-	"tabletop: F
base: F
supports: F
adjustment mechanisms: F
specific accessories for specialty: F"	"1. tabletop: stainless steel and/or composites
2. base: metal
3. supports: metal
4. adjustment mechanisms: metal and/or electronics
5. specific accessories for specialty: metal, plastic, and/or composites"
Operating table	Image-guided surgical operating table	-	"tabletop: F
base: F
supports: F
adjustment mechanisms: F
radiolucent materials: F"	"1. tabletop: carbon fiber and/or metal
2. base: metal
3. supports: metal and/or plastics
4. adjustment mechanisms: metal and electronics
5. radiolucent materials: carbon fiber composites or plastics"
Operating table	Orthopedic surgery table	-	"tabletop: F
base: F
supports: F
adjustment mechanisms: F
traction devices: F"	"1. tabletop: stainless steel, carbon fiber, and/or composites
2. base: stainless steel or heavy-duty aluminum
3. supports: stainless steel or aluminum
4. adjustment mechanisms: stainless steel and/or aluminum
5. traction devices: stainless steel, plastic, and/or carbon fiber"
Operating table	Pediatric surgery table	-	"tabletop: F
base: F
supports: F
adjustment mechanisms: F
size adjustments for pediatrics: F"	"1. tabletop: metal, foam, and plastic
2. base: metal
3. supports: metal
4. adjustment mechanisms: metal and plastic
5. size adjustments for pediatrics: metal and plastic"
Optical disc	Compact Disc	-	"polycarbonate layer: F
aluminum layer: F
protective lacquer layer: F
label: F"	"1. polycarbonate layer: polycarbonate
2. aluminum layer: aluminum
3. protective lacquer layer: lacquer
4. label: ink and paper"
Optical disc	Digital Versatile Disc	-	"polycarbonate layers: F
aluminum layer: F
adhesive layer: F
protective lacquer layer: F
label: F"	"1. polycarbonate layers: polycarbonate
2. aluminum layer: aluminum
3. adhesive layer: adhesive
4. protective lacquer layer: lacquer
5. label: ink on paper or polyester"
Optical disc	Blu-ray Disc	-	"polycarbonate layer: F
hard coating layer: F
data layer: F
reflective layer: F
protective lacquer layer: F
label: F"	"1. polycarbonate layer: polycarbonate
2. hard coating layer: lacquer
3. data layer: recording materials
4. reflective layer: aluminum or silver alloy
5. protective lacquer layer: lacquer
6. label: ink"
Optical disc drive	CD-ROM Drive	-	"drive bay: F
laser assembly: F
motor: F
gears: F
spindle: F
bezel: F
printed circuit board: F"	"1. drive bay: metal or plastic
2. laser assembly: electronics, plastic, and metal
3. motor: metal and/or electronics
4. gears: metal or plastic
5. spindle: metal or plastic
6. bezel: plastic
7. printed circuit board: electronics and metal"
Optical disc drive	DVD-ROM Drive	-	"drive bay: F
laser assembly: F
motor: F
gears: F
spindle: F
bezel: F
printed circuit board: F
second laser for DVD wavelength: F"	"1. drive bay: metal and/or plastic
2. laser assembly: electronics, metal, and plastic
3. motor: metal and electronics
4. gears: plastic and/or metal
5. spindle: plastic and/or metal
6. bezel: plastic
7. printed circuit board: electronics and fiberglass
8. second laser for DVD wavelength: electronics and metal"
Optical disc drive	Blu-ray Disc Drive	-	"drive bay: F
laser assembly: F
motor: F
gears: F
spindle: F
bezel: F
printed circuit board: F
second laser for Blu-ray wavelength: F"	"1. drive bay: metal or plastic
2. laser assembly: metal, plastic, and electronics
3. motor: metal, plastic, and electronics
4. gears: metal and/or plastic
5. spindle: metal and/or plastic
6. bezel: plastic
7. printed circuit board: electronics
8. second laser for Blu-ray wavelength: electronics"
Optical disc drive	CD-RW Drive	-	"drive bay: F
laser assembly: F
motor: F
gears: F
spindle: F
bezel: F
printed circuit board: F
laser capable of altering disc: F"	"1. drive bay: metal
2. laser assembly: electronics, metal, and glass
3. motor: metal and electronics
4. gears: metal or plastic
5. spindle: metal or plastic
6. bezel: plastic
7. printed circuit board: electronics, metal, and fiberglass
8. laser capable of altering disc: electronics, metal, and glass"
Optical disc drive	DVD-RW Drive	-	"drive bay: F
laser assembly: F
motor: F
gears: F
spindle: F
bezel: F
printed circuit board: F
laser capable of altering disc: F
second laser for DVD-RW wavelength: F"	"1. drive bay: metal and/or plastic
2. laser assembly: metal, plastic, and electronics
3. motor: metal and electronics
4. gears: metal or plastic
5. spindle: metal
6. bezel: plastic
7. printed circuit board: electronics
8. laser capable of altering disc: electronics and metal
9. second laser for DVD-RW wavelength: electronics and metal"
Optical disc drive	BD-RE Drive	-	"drive bay: F
laser assembly: F
motor: F
gears: F
spindle: F
bezel: F
printed circuit board: F
laser capable of altering disc: F
second laser for BD-RE wavelength: F"	"1. drive bay: metal and/or plastic
2. laser assembly: metal, glass, and electronics
3. motor: metal and electronics
4. gears: metal and/or plastic
5. spindle: metal
6. bezel: plastic
7. printed circuit board: electronics
8. laser capable of altering disc: electronics, metal, and glass
9. second laser for BD-RE wavelength: electronics, metal, and glass"
Optical instrument	Telescope	-	"objective lens or primary mirror: F
eyepiece: F
tube: F
mount: F"	"1. objective lens or primary mirror: glass or aluminum
2. eyepiece: glass and metal
3. tube: metal or plastic
4. mount: metal"
Optical instrument	Microscope	-	"objective lens: F
eyepiece: F
stage: F
illumination source: F
arm: F
base: F"	"1. objective lens: glass
2. eyepiece: glass and/or plastic
3. stage: metal
4. illumination source: glass, metal, and electronics
5. arm: metal or plastic
6. base: metal or plastic"
Optical instrument	Binoculars	-	"objective lenses: F
eyepieces: F
body: F
hinge: F"	"1. objective lenses: glass
2. eyepieces: glass and/or plastic
3. body: metal, rubber, and/or plastic
4. hinge: metal"
Optical instrument	Camera	-	"lens: F
image sensor: F
shutter: F
body: F"	"1. lens: glass and/or plastic
2. image sensor: electronics
3. shutter: metal and/or plastic
4. body: plastic or metal"
Optical instrument	Spectacles	-	"lenses: F
frame: F
arms: F"	"1. lenses: plastic or glass
2. frame: metal or plastic
3. arms: metal or plastic"
Optical instrument	Magnifying glass	-	"lens: F
handle: F"	"1. lens: glass or plastic
2. handle: wood, plastic, or metal"
Optical microscope	Simple microscope	-	"lens: F
body tube: F
base: F"	"1. lens: glass or plastic
2. body tube: metal or plastic
3. base: metal"
Optical microscope	Compound microscope	-	"eyepiece: F
objective lenses: F
body tube: F
revolving nosepiece: F
stage: F
light source: F
base: F
focus knobs: F
arm: F"	"1. eyepiece: glass and metal
2. objective lenses: glass
3. body tube: metal or plastic
4. revolving nosepiece: metal
5. stage: metal, glass, and/or plastic
6. light source: glass and metal
7. base: metal and/or plastic
8. focus knobs: metal and/or plastic
9. arm: metal or plastic"
Optical microscope	Inverted microscope	-	"eyepiece: F
objective lenses: F
body tube: F
stage: F
light source: F
base: F
focus knobs: F
arm: F"	"1. eyepiece: glass and metal
2. objective lenses: glass and metal
3. body tube: metal
4. stage: metal and/or glass
5. light source: glass, metal, and electronics
6. base: metal
7. focus knobs: plastic or metal
8. arm: metal"
Optical telescope	Refracting telescope	-	"objective lens: F
eyepiece: F
tube: F"	"1. objective lens: glass
2. eyepiece: glass and metal
3. tube: metal or plastic"
Optical telescope	Reflecting telescope	-	"primary mirror: F
secondary mirror: T
eyepiece: F
tube: F"	"1. primary mirror: glass with a reflective coating
2. secondary mirror: glass with a reflective coating
3. eyepiece: glass or plastic
4. tube: metal or plastic"
Optical telescope	Catadioptric telescope	-	"primary mirror: F
secondary mirror: F
corrector plate: F
eyepiece: F
tube: F"	"1. primary mirror: glass with a reflective coating
2. secondary mirror: glass with a reflective coating
3. corrector plate: glass
4. eyepiece: glass and metal
5. tube: metal or plastic"
Organ (music)	Pipe organ	-	"pipes: F
blower: F
console: F
manuals: F
pedalboard: F
stop controls: F"	"1. pipes: metal or wood
2. blower: metal, plastics, and electronics
3. console: wood, metal, and/or plastics
4. manuals: wood and/or plastics
5. pedalboard: wood and metal
6. stop controls: wood, metal, and/or plastics"
Organ (music)	Electronic organ	-	"speakers: F
electronic sound generator: F
console: F
manuals: F
pedalboard: T
stop controls: F"	"1. speakers: metal, paper, and plastic
2. electronic sound generator: electronics, metal, and plastic
3. console: wood, metal, and/or plastic
4. manuals: wood or plastic
5. pedalboard: wood or metal
6. stop controls: plastic or metal"
Organ (music)	Reed organ	-	"reeds: F
bellows: F
keyboard: F
stop controls: F"	"1. reeds: brass or steel
2. bellows: leather and/or fabric and/or paper
3. keyboard: plastic or ivory or wood
4. stop controls: wood or metal or plastic"
Organ (music)	Theatre organ	-	"pipes: F
blower: F
console: F
manuals: F
pedalboard: F
stop controls: F
percussions: T
traps: T"	"1. pipes: metal and/or wood
2. blower: metal, plastic, and rubber
3. console: wood
4. manuals: plastic or ivory and wood
5. pedalboard: wood and metal
6. stop controls: wood, plastic, and/or metal
7. percussions: metal, wood, and leather
8. traps: metal, wood, leather, and felt"
Organ pipe	Flue pipes	-	"body: F
mouth: F
foot: F"	"1. body: metal or ceramic
2. mouth: metal or ceramic
3. foot: metal or ceramic"
Organ pipe	Reed pipes	-	"body: F
mouth: F
foot: F
shallot: F
reed: F
tuning wire: F"	"1. body: wood or metal
2. mouth: wood or metal
3. foot: wood or metal
4. shallot: metal or plastic
5. reed: cane or synthetic material
6. tuning wire: metal"
Organ pipe	Optional Hybrid Organ Pipes	-	-: F	metal and wood
Organizer box	-	-	"body: F
compartments: F"	"1. body: plastic or metal or wood
2. compartments: plastic or metal or wood"
Orthopedic cast	-	-	-: F	plaster or fiberglass
Ottoman (furniture)	-	-	"frame: F
upholstery: F"	"1. frame: wood or metal
2. upholstery: fabric, leather, and/or foam"
Ottoman (textile)	-	-	"frame: F
padding: F
upholstery: F"	"1. frame: wood or metal
2. padding: foam
3. upholstery: leather, fabric, or vinyl"
Outhouse	Single pit outhouse	-	"walls: F
roof: F
floor: F
seat: F
pit: F"	"1. walls: wood or metal
2. roof: wood or metal
3. floor: concrete or wood
4. seat: wood or plastic
5. pit: earth"
Outhouse	Double pit outhouse	-	"walls: F
roof: F
floor: F
two seats: F
two pits: F"	"1. walls: wood or plastic
2. roof: wood or metal or plastic
3. floor: concrete or wood
4. two seats: wood or plastic
5. two pits: earth"
Outhouse	Portable outhouse	-	"walls: F
roof: F
floor: F
seat: F
waste tank: F"	"1. walls: plastic
2. roof: plastic
3. floor: plastic
4. seat: plastic
5. waste tank: plastic"
Outhouse	Composting outhouse	-	"walls: F
roof: F
floor: F
seat: F
composting chamber: F"	"1. walls: wood or plastic
2. roof: wood or plastic
3. floor: wood or concrete
4. seat: wood or plastic
5. composting chamber: metal, plastic, or concrete"
Outpost (military)	Observation post	-	"fortification: F
observation equipment: F"	"1. fortification: concrete and/or metal
2. observation equipment: glass, plastic, and electronics"
Outpost (military)	Border outpost	-	"fortification: F
gates: F
barrier: F"	"1. fortification: concrete, steel, and/or sandbags
2. gates: metal or wood
3. barrier: concrete, metal, and/or wire"
Outpost (military)	Listening post	-	"fortification: F
surveillance equipment: F"	"1. fortification: concrete, metal
2. surveillance equipment: electronics, metal, plastics"
Outpost (military)	Advanced outpost	-	"fortification: F
communication equipment: F"	"1. fortification: concrete, steel, and/or sandbags
2. communication equipment: electronics, metal, and plastics"
Outpost (military)	Forward operating base	-	"fortification: F
living quarters: F
storage facilities: F
command center: F"	"1. fortification: earth, steel, and/or concrete
2. living quarters: metal, wood, and/or pre-fabricated materials
3. storage facilities: metal, wood, and/or pre-fabricated materials
4. command center: metal, wood, electronics, and/or pre-fabricated materials"
Oven	Conventional oven	-	"walls: F
ceiling: F
floor: F
door: F
heating elements: F
control panel: F
racks: F"	"1. walls: metal, insulation materials
2. ceiling: metal, insulation materials
3. floor: metal, insulation materials
4. door: glass, metal, insulation materials
5. heating elements: metal alloys
6. control panel: electronics, plastic, metal
7. racks: metal"
Oven	Convection oven	-	"walls: F
ceiling: F
floor: F
door: F
heating elements: F
control panel: F
racks: F
internal fan: F"	"1. walls: stainless steel, aluminum, and/or galvanized steel
2. ceiling: stainless steel, aluminum, and/or galvanized steel
3. floor: stainless steel, aluminum, and/or galvanized steel
4. door: stainless steel, aluminum, glass, and/or tempered glass
5. heating elements: metal, ceramic, and/or quartz
6. control panel: metal, electronics, and plastic
7. racks: metal or coated metal
8. internal fan: metal and electronics"
Oven	Microwave oven	-	"walls: F
ceiling: F
floor: F
door: F
magnetron: F
control panel: F
turntable: T
waveguide: F"	"1. walls: metal and plastic
2. ceiling: metal and plastic
3. floor: metal and ceramic
4. door: glass and plastic
5. magnetron: electronics and metal
6. control panel: electronics, plastic, and metal
7. turntable: glass or ceramic
8. waveguide: metal"
Oven	Toaster oven	-	"walls: F
ceiling: F
floor: F
door: F
heating elements: F
control panel: F
racks: F
crumb tray: F"	"1. walls: metal, plastic
2. ceiling: metal
3. floor: metal
4. door: glass and metal
5. heating elements: nichrome
6. control panel: plastic, electronics
7. racks: metal
8. crumb tray: metal"
Overalls	Bib overalls	-	"legs: F
bib: F
shoulder straps: F
fasteners: F"	"1. legs: denim, cotton, or canvas
2. bib: denim, cotton, or canvas
3. shoulder straps: denim, cotton, or canvas
4. fasteners: metal or plastic"
Overalls	Coveralls	-	"legs: F
arms: F
torso with attached bib: F
fasteners: F"	"1. legs: cotton, polyester, and/or denim
2. arms: cotton, polyester, and/or denim
3. torso with attached bib: cotton, polyester, and/or denim
4. fasteners: metal or plastic"
Overalls	Shortalls	-	"short legs: F
bib: F
shoulder straps: F
fasteners: F"	"1. short legs: cotton denim and/or twill
2. bib: cotton denim and/or twill
3. shoulder straps: cotton denim and/or twill
4. fasteners: metal"
Overcoat	Trench coat	-	"body: F
collar: F
cuffs: F
belt: F
lapels: F
lining: T"	"1. body: cotton, wool, leather, or synthetic fabrics
2. collar: cotton, wool, leather, or synthetic fabrics
3. cuffs: cotton, wool, leather, or synthetic fabrics
4. belt: cotton, wool, leather, or synthetic fabrics
5. lapels: cotton, wool, leather, or synthetic fabrics
6. lining: silk, polyester, or nylon"
Overcoat	Pea coat	-	"body: F
collar: F
cuffs: F
lapels: F
lining: T"	"1. body: wool or wool blend
2. collar: wool or wool blend
3. cuffs: wool or wool blend
4. lapels: wool or wool blend
5. lining: silk, polyester, or nylon"
Overcoat	Topcoat	-	"body: F
collar: F
cuffs: F
lining: T"	"1. body: wool, cotton, or synthetic fibers
2. collar: wool, cotton, or synthetic fibers
3. cuffs: wool, cotton, or synthetic fibers
4. lining: silk, polyester, or nylon"
Overcoat	Chesterfield coat	-	"body: F
collar: F
cuffs: F
lining: T
velvet collar: T"	"1. body: wool or cotton
2. collar: wool or cotton
3. cuffs: wool or cotton
4. lining: silk, polyester, or nylon
5. velvet collar: velvet"
